Ительменское слово,Русское слово,Часть речи
krэstэ-,крестить,п1
krэstэʔɬ-,креститься,неп
krэstnoj,крестный,сущ
sqэnsxэn-,кривить,п1
tqэns-,кривить,п1
əntqэnsxэn-,кривить,п1
sqэns-,кривиться,неп
tqэns-,кривиться,неп
kэlkэl,крик,сущ
kэl-,кричать,неп
tajŋa-,кричать,неп
čxča-,кричать,неп
эŋalэlэt-,кричать,неп
kэlsxэn-,кричать многократно,неп
kэlit-,кричать многократно,неп
qorkɬ-,кричать по-оленьи,неп
aɲts,кровать,сущ
tjotjəm,кровеносный сосуд,сущ
əɲɬim-,кровоточить,неп
mɬim,кровь,сущ
nэsэŋ-,кровь проливать,п1
wэtčinэʔ,кровяная колбаса,сущ
ɬэl-,кроить,п1
tuwaq,кроншнеп,сущ
tuwaq,кроншнеп,сущ
atsk'aj,крохаль,сущ
t'əlt'əl,крохаль,сущ
ənkwэ-,крошить,п1
kwэ-,крошиться,неп
tχitχэsxq,крошка от юколы,сущ
kwэsxqэʔn,крошки пищи,сущ
čimsxqaʔn,крошки рыбы,сущ
ʷkmэsэm,круг,сущ
sonzalx,круг для дробления костей,сущ
krugloj,круглый,прил
ənk'ilazo-,кружить,п1
ənk'эlala-,кружить,п1
ənk'эlэ-,кружить,п1
ənk'эlэt-,кружить,п1
k'ili-,кружиться,неп
kruskэʔ,кружка,сущ
qamaŋa,крупная посуда,сущ
ʷplaχ,крупный,прил
oʔolt,крупный камень,сущ
ənk'эlэt-,крутить,п1
эʔlэ,крутой склон,сущ
sэsэŋ,крыло,сущ
tэlxp,крыло,сущ
timэ-,крыть крышу,неп
timэ-,крыть крышу,п1
krowʎaʔ,крыша,сущ
taməs,крыша,сущ
timэ-,крышу крыть,неп
timэ-,крышу крыть,п1
qaʔnantaʔnŏŋ,крючок деревянный,сущ
бawračχ,либо из бочки,сущ
č'əmkэčχ,крючок-вешалка для сети,сущ
qanχs,кряква,сущ
xэt'əwal,кряква,сущ
qanɬ-,кряхтеть,неп
k'nintx,кто,мест
k'nəntx,кто,мест
k'э,кто,мест
k'ээčχ,кто-то,мест
kupx,куб чулком снятая шкура,сущ
pəlk'azat-,кувыркаться,неп
mankэ,куда,нареч
mэnalankэ,куда попало,нареч
ksəŋraʔan,кудрявый,прил
səŋraqэl,кудрявый человек,сущ
ktalaʔan,кузнец,сущ
iisluʔɬnэŋ,кузнечный мех,сущ
oromx,кузов,сущ
χэʔluč,кукла,сущ
ksxča-,кукуль,неп
ksxčaʔnэŋ,кукуль,сущ
qэquq,кукушка,сущ
ʷtəɬq,кулак,сущ
tuwaq,кулик,сущ
tuwaq,кулик,сущ
t'ot'ot',русско-ительменский индекс,сущ
urilwič,русско-ительменский индекс,сущ
čiriričx,русско-ительменский индекс,сущ
kul'turnoj,культурный,прил
kunzэ,кунжа,сущ
эɲɬata-,купить,неп
ninэʔ,курильский ветер,сущ
kansa,курительная трубка,сущ
kansa-,курить,неп
rэwnэ,куропатка,сущ
ampəl-,кусать,неп
pəl-,кусать,п2
pəlsxэn-,кусать,п2
pələt-,кусать,п2
ampəl-,кусаться,неп
ampəlsxэnaʔɬ-,кусаться,неп
mənsəŋ,куски от пласта рыбы,сущ
ansχ,кусок,сущ
kaɬčfsəm,кусок льда,сущ
wojdanəŋ,кусок меховой шкурки,сущ
nэpunэč,шейной части летнего капора,сущ
aɲačχ,кусочек,сущ
ʷfizwum,куст,сущ
ləltanom,куст жимолости,сущ
stotəm,куст кедрового стланика,сущ
č'эč'эm,куст тальника,сущ
ʷfizwal,кустарник,сущ
č'эs-,кутаться,неп
č'эssxэn-,кутаться,неп
Кutxaj,Кутх,собств
Лukaɬč,Кутх,собств
Кutx,ительменских сказок),собств
jэrwač,кухлянка,сущ
qowsqэl сущ с.,кухлянка,
эʎwəmək,кухлянка,сущ
kawaʎo,кухлянка теплая,сущ
qofč,кухлянка-парка,сущ
kukoniŋ,кухлянки капюшон,сущ
kutэ,кухня,сущ
kutэʔin,кухонный,прил
nowaɬэs,кушанье,сущ
filk'intora,кушанье из морошки с рыбой,сущ
kilikil,кушанья вид,сущ
tχӑl-,кушать,п1
čwanom,лагерь,сущ
tэŋq,ладно,нареч
manzəŋ,ладонь,сущ
qəmt'k'a-,ладоши хлопать,неп
laduskaʔɬ-,ладоши хлопать,неп
č'эnom,лаз,сущ
č'эɬэlat-,лакомиться,неп
piŋč,лампа,сущ
awazэʔɬ-,ласкать,неп
iɬ-,вәнкэ,п1
awazэ-,ласкаться,неп
k'awazэʔan,ласковый,прил
t'k'oxč,ласт нерпы,сущ
čukčuk,ласт нерпы,сущ
atk'aʎačχ,ласточка,сущ
ɬinmiti-,латать,п1
atɬэmk'at-,латать обувь,п1
laxtak,лахтак,сущ
moja,лахтак в один год,сущ
kэwэw,лахтак двухлетний,сущ
torэmэl,лахтак старше пяти-шести лет,сущ
qlэqaməŋ,лахтак старый большой,сущ
xэkэwэx,лахтак трехлетний,сущ
t'mk'эk',лахтак четырех лет,сущ
ač'э-,лаять,неп
awla-,лаять (о собаке),неп
maja-,лгать,неп
mэsxu,лебедь,сущ
iэrэd,лебяжье коренье,сущ
l'эwoj,левый,прил
sič'эŋan,левый,прил
amŋэl,легенда,сущ
əmsxulaχ,легкий,прил
əmsxuq,легко,нареч
rsэrэs,легкое,сущ
kaɬčfsəm,лед,сущ
ktwolčaχ,лед,сущ
kэtwol,лед,сущ
ŋoɬkэŋ,ледяная полянка,сущ
kaɬčfsəm,ледяное поле,сущ
kэtwolʔan,ледяной,прил
aɲts,лежанка,сущ
ʷsŏl-,лежать,неп
sollo-,лежать,неп
pla-,лежать вольно широко,неп
sollozo-,лежать долго,неп
бaran,тальная дуга),сущ
solnom,лежбище,сущ
pэkul,лезвие ножа,сущ
ʎэkarstwaʔ,лекарство,сущ
kɬčilaχ,ленивый,прил
lukawoj,ленивый,прил
ilk'эst-,лениться,неп
kɬčila-,лениться,неп
kɬčэl-,лениться,неп
k'imamtэnŏŋ,лента в косе,сущ
kɬčilaχ,лентяй,сущ
ačəɲčx,лес,сущ
sin-,лес,А
lilum,лес тальниковый,сущ
uxt,лес-березник,сущ
sinʔin,лесной,прил
uxt'in,лесной,
amanəm,лестница,сущ
kič,лестница,сущ
kɬalaʔn,лет,сущ
siŋ-,летать,неп
siŋzu-,летать,неп
siŋэt-,летать,неп
sэŋzo-,летать,неп
laʔmstnom,летнее жильё,сущ
lamɬnom,летнее стойбище,сущ
čkatɬэʔn,летние торбаза,сущ
lamɬʔan,летний,прил
lamɬnom,летник,сущ
laʔmstnom,летник,сущ
ɬxanostnom,летник,сущ
alačikaʔn,летняя обувь,сущ
ikəmplikэʔn,летняя промысловая обувь,сущ
lamɬnom,летняя хижина,сущ
lamɬ,лето,нареч
lamɬ-,летовать,неп
laʔmst-,летовать,неп
lamɬ,летом,нареч
ʎэčэʔɬknэn,лечебный,прил
lэči-,лечить,п1
lэčiʔɬ-,лечить,неп
ʎэči-,лечить,п1
ənqэčэʔɬ-,лечить,п1
эʔŋuŋi-,лечить,неп
ʎэčэʔɬ-,лечиться,неп
sollata-,лечь,неп
эɬč-,лечь,неп
эɬčata-,лечь,неп
taɲɬkas,леший,сущ
təʔmэ-,лизать,п1
opsanka,лилия,сущ
tэmэq,лилия,сущ
linejka,линейка,сущ
atx-,линять,неп
ič'э-,линять,неп
suwu-,линять,неп
tp-,линять,неп
ktməlʔan,липкий,прил
tməl-,липнуть,неп
tsxalastas,лиса,сущ
"t'sal, t'salaj",лиса,сущ
"t'sal, t'salaj",лисица,сущ
pəllapəl,лист дерева,сущ
pəllal,листва,сущ
kəzwum,лиственница,сущ
ins-,лить,п1
ins-,литься,неп
fэwaŋ,лицевая сторона,сущ
tэmjuŋlaχ,лицимер(ный),прил
fэwaŋ,лицо,сущ
pəlk'aŋ,лицом вверх,нареч
pnэŋ,лицом вниз,нареч
fээčχ,личико,сущ
əmk'əsx,лишай,сущ
ʎisɲoj,лишний,прил
kčэč,лоб,сущ
inənk-,ловить,неп
ənk-,ловить,п2
ənkaʔɬ-,ловить,п2
čaʔwat-,ловить оленей,неп
əzzaʔno-,ловить рыбу,неп
əɲčsχmo-,ловить рыбу,неп
xilwiŋt-,ловить рыбу неводом,неп
xiliwiŋtzo-,ловить рыбу неводом,неп
ka-,ловиться,неп
nmitqэn,ловкий,прил
loxko,ловко,нареч
tqapэs,ловушка,сущ
xap,ловушка,сущ
kupxč,ловушка для тюленя,сущ
qэlqэlwin,ловушка запора для гольцов,сущ
kuʎumkэ,песца,сущ
sʎupka,лодка,сущ
бajdar,лодка (охотничья),сущ
txtum,лодка долбленая,сущ
tupэz-,лодку привязывать,п1
tχtupэs-,лодку привязывать,неп
эɬχt'эŋ-,ложиться,неп
эɬč-,ложиться,неп
ʷpnэŋa-,ложиться ничком,неп
loska,ложка,сущ
čkpəč,ложка,сущ
paju-,ложкой зачерпывать,неп
apč'k'əl,ложкообразное весло,сущ
nanx,лозина,сущ
lot'il,локоть,сущ
ŋэk'ol-,ломать,неп
ənk'ol-,ломать,п1
ənk'olsxэn-,ломать,п1
ənk'olэt-,ломать,п1
k'ol-,ломаться,неп
k'olsxэn-,ломаться,неп
k'olэt-,ломаться,неп
učkpэn,лопата,сущ
paspat,лопатка,сущ
pčinti-,лопнуть,неп
pэtэčχ,комбинезона,сущ
tχitχiŋ,лоскуток юколы,сущ
č'uwaj,лососевая рыба,сущ
intχzэsχ,лососевой икры вязка,сущ
moqrэ,лохматый,прил
koɲa,лошадь,сущ
ənɬэmza-,лошадь переводить,п1
izuwэzəm,лощина,сущ
ulx,луб,сущ
iwk',луб березы,сущ
k'uχq,луб березы,сущ
ʷkəɬfčaχ,лужа,сущ
čk'эmt,лужа,сущ
usx,лужайка,сущ
luk,лук,сущ
č'it,лук,сущ
luqujŋin,лук дикий,сущ
tэmjuŋlaχ,лукавый,прил
jaalŋən сущ с.,луна,
jaʔəlwəčχ,луна,сущ
lač kɬfiŋlэʔin,луна,сущ
mэsiц,луна,сущ
sэl-,лунатик,неп
lučэs,"лучше лучэ,",нареч
aʔlom,лучше бы,межд
lэŋaʔn,лыжи,сущ
anst'wolnoŋ,лыжная подбивка,сущ
lэŋa uʔ,лыжное дерево,сущ
juqsэʔn,лыжные крепления,сущ
lэŋazonoŋ,лыжня,сущ
tэwэnŏm,лыжня,сущ
lk'эt,лыко ивы,сущ
kumɬxil,лыко кипрейное,сущ
im-,лысеть,неп
k'эmsx,лысина,сущ
ačxq'alaχ,лысый,прил
kaɬčfsəm,льдина,сущ
kэtwol,льдина,сущ
kэtwoɬčaχ,льдина,сущ
kətwoltэ-,льдом покрываться,неп
kaɬčfsatэ-,льдом покрыться,неп
č'owaq,любитель женщин,сущ
lft-,любить,неп
lft-,любить,п1
lftala-,любить,п1
lftalat-,любить,п1
činəŋʔэ-,любоваться красотой,неп
klэlx,любовник,сущ
χэlulan,любовник,сущ
klэlxčэʔɬ-,любовью заниматься,неп
zipkэ,люлька подвесная детская,сущ
qэpɬko-,лягаться,п1
qэpɬk'oɬ-,лягаться,неп
sasq,лямка типа хомута,сущ
эnsxэʔɬnom,магазин,сущ
anzazo-,мазать,п1
anzas,мазь,сущ
anzaʔnoŋ,мазь,сущ
ktxэɬxən,макушка,сущ
mawačχ,малёк,сущ
fač'ik,маленькая вошь,сущ
ʎiʎuk'эčχ,маленькая рыбья голова,сущ
uɲɲačχ,маленькая тундровая птичка,сущ
uʎu-,маленький,А
uʎuʎaχ,маленький,прил
učkuɲʎaχ,маленький,прил
paakčix Ю.,маленький вулкан,сущ
qэʔris,маленький гусь,сущ
kistэčχ,маленький домик,сущ
čiriričx,маленький кулик,сущ
č'itэk'эčχ,маленький мышонок,сущ
эrmэčχ,маленький язычок в горле,сущ
malina,малина,сущ
эčxэɬqwэzэm,малина,сущ
uʎuq,мало,нареч
k'aŋansa,мало дающий,прил
miʎačχ,малыш,сущ
wəɬč,мальма,сущ
pamxččaχ сущ с.,мальчик,
p'эč,мальчик,сущ
χoʎačχ,мальчик,сущ
mama,мама,сущ
ənč'эlazo-,манить,п1
marka,марка,сущ
maslaʔ,масло,сущ
nmitqэn,мастер,сущ
sk-,мастерить,п1
saləŋk,материк,сущ
činəp,материя,сущ
matɲiцaʔ,потолке),сущ
p'asx,матка,сущ
laχsχ,мать,сущ
awэlaʔɬ-,махать руками,неп
awэla-,махать рукой,п1
laχsχэʔsx,мачеха,сущ
mačtaʔ,мачта,сущ
